,Compnay Name,CIK,Notes Link,10-K Report Page URL,End Date of Fiscal Year
31,Allergan PLC,0001578845,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001578845/0001564590-16-013478-index.htm,2015-12-31
32,Allergan PLC,0001578845,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001578845/0001193125-15-052898-index.htm,2014-12-31
33,Allergan PLC,0001578845,https://www.sec.gov/Archives/edgar/data/0001578845/000119312514066242/R11.htm,https://www.sec.gov/Archives/edgar/data/0001578845/0001193125-14-066242-index.htm,2013-12-31
34,Bed Bath & Beyond Inc,0000886158,https://www.sec.gov/Archives/edgar/data/0000886158/000117184317002300/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-17-002300-index.htm,2017-02-25
35,Bed Bath & Beyond Inc,0000886158,No Acquisition,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-16-009400-index.htm,2016-02-27
36,Bed Bath & Beyond Inc,0000886158,https://www.sec.gov/Archives/edgar/data/0000886158/000117184315002257/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-15-002257-index.htm,2015-02-28
37,Bed Bath & Beyond Inc,0000886158,https://www.sec.gov/Archives/edgar/data/0000886158/000117184314001962/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-14-001962-index.htm,2014-03-01
38,Bed Bath & Beyond Inc,0000886158,https://www.sec.gov/Archives/edgar/data/0000886158/000110465913035115/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-13-035115-index.htm,2013-03-02
39,Bed Bath & Beyond Inc,0000886158,No Acquisition,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-12-027814-index.htm,2012-02-25
40,Bed Bath & Beyond Inc,0000886158,No Acquisition,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-11-022393-index.htm,2011-02-26
41,Bed Bath & Beyond Inc,0000886158,http://makeresearchgreatagain.com/sec_files/Bed_Bath_&_Beyond_Inc_2010-04-27_report.html,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-10-022152-index.htm,2010-02-27
42,Bed Bath & Beyond Inc,0000886158,http://makeresearchgreatagain.com/sec_files/Bed_Bath_&_Beyond_Inc_2009-04-28_report.html,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-09-026769-index.htm,2009-02-28
43,Bed Bath & Beyond Inc,0000886158,http://makeresearchgreatagain.com/sec_files/Bed_Bath_&_Beyond_Inc_2008-04-30_report.html,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-08-028282-index.htm,2008-03-01
44,Bed Bath & Beyond Inc,0000886158,http://makeresearchgreatagain.com/sec_files/Bed_Bath_&_Beyond_Inc_2007-05-02_report.html,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-07-034862-index.htm,2007-03-03
45,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000156459017002483/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-17-002483-index.htm,2016-12-31
46,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000156459016013653/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-16-013653-index.htm,2015-12-31
47,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000156459015001140/R15.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-15-001140-index.htm,2014-12-31
48,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000156459015001140/R29.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-15-001140-index.htm,2014-12-31
49,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312514070025/R15.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-14-070025-index.htm,2013-12-31
50,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312513077031/R24.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-13-077031-index.htm,2012-12-31
51,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312513077031/R25.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-13-077031-index.htm,2012-12-31
52,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R11.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm,2011-12-31
53,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R12.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm,2011-12-31
54,BioMarin Pharmaceutical Inc,0001048477,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm,2011-12-31
55,BioMarin Pharmaceutical Inc,0001048477,http://makeresearchgreatagain.com/sec_files/BioMarin_Pharmaceutical_Inc_2011-02-24_report.html,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-11-045527-index.htm,2010-12-31
56,BioMarin Pharmaceutical Inc,0001048477,http://makeresearchgreatagain.com/sec_files/BioMarin_Pharmaceutical_Inc_2010-02-26_report.html,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-10-041516-index.htm,2009-12-31
57,BioMarin Pharmaceutical Inc,0001048477,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-09-040972-index.htm,2008-12-31
58,BioMarin Pharmaceutical Inc,0001048477,http://makeresearchgreatagain.com/sec_files/BioMarin_Pharmaceutical_Inc_2008-02-28_report.html,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-08-040467-index.htm,2007-12-31
59,BioMarin Pharmaceutical Inc,0001048477,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-07-041361-index.htm,2006-12-31
60,Bottomline Technologies Inc,0001073349,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-17-269991-index.htm,2017-06-30
61,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312516694935/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-16-694935-index.htm,2016-06-30
62,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312515306606/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-15-306606-index.htm,2015-06-30
63,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312514324477/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-14-324477-index.htm,2014-06-30
64,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312513351488/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-13-351488-index.htm,2013-06-30
65,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312512369412/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-12-369412-index.htm,2012-06-30
66,Bottomline Technologies Inc,0001073349,https://www.sec.gov/Archives/edgar/data/0001073349/000119312511244233/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-11-244233-index.htm,2011-06-30
67,Bottomline Technologies Inc,0001073349,http://makeresearchgreatagain.com/sec_files/Bottomline_Technologies_Inc_2010-09-10_report.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-10-207831-index.htm,2010-06-30
68,Bottomline Technologies Inc,0001073349,http://makeresearchgreatagain.com/sec_files/Bottomline_Technologies_Inc_2009-09-11_report.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-09-190353-index.htm,2009-06-30
69,Bottomline Technologies Inc,0001073349,http://makeresearchgreatagain.com/sec_files/Bottomline_Technologies_Inc_2008-09-12_report.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-08-195286-index.htm,2008-06-30
70,Bottomline Technologies Inc,0001073349,http://makeresearchgreatagain.com/sec_files/Bottomline_Technologies_Inc_2007-09-12_report.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-07-199767-index.htm,2007-06-30
71,Comcast Corp,0001166691,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-17-030512-index.htm,2016-12-31
72,Comcast Corp,0001166691,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-16-452423-index.htm,2015-12-31
73,Comcast Corp,0001166691,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-15-068526-index.htm,2014-12-31
74,Comcast Corp,0001166691,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-14-047522-index.htm,2013-12-31
75,Comcast Corp,0001166691,https://www.sec.gov/Archives/edgar/data/0001166691/000119312513067658/R12.htm,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-13-067658-index.htm,2012-12-31
