,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
QUMU, , , , , https://www.sec.gov/Archives/edgar/data/0000892482/000089248216000029/R9.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248216000029/R24.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248216000029/R37.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248216000029/R38.htm | , https://www.sec.gov/Archives/edgar/data/0000892482/000089248215000003/R10.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248215000003/R27.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248215000003/R42.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248215000003/R43.htm | , https://www.sec.gov/Archives/edgar/data/0000892482/000089248214000003/R9.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248214000003/R30.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248214000003/R45.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248214000003/R46.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000089248214000003/R47.htm | , https://www.sec.gov/Archives/edgar/data/0000892482/000144530513000625/R9.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000144530513000625/R31.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000144530513000625/R47.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000144530513000625/R48.htm | https://www.sec.gov/Archives/edgar/data/0000892482/000144530513000625/R49.htm | , https://www.sec.gov/Archives/edgar/data/0000892482/000089710112000447/R9.htm | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2011-03-14_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2011-03-14_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2011-03-14_report_2.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2010-03-12_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2010-03-12_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2010-03-12_report_2.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2009-03-16_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2009-03-16_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2008-03-14_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2008-03-14_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2007-03-16_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2007-03-16_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2006-03-15_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2006-03-15_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2005-03-16_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\QUMU_2005-03-16_report_1.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MICT, , , , , , , , https://www.sec.gov/Archives/edgar/data/0000854800/000117891313000945/R10.htm | https://www.sec.gov/Archives/edgar/data/0000854800/000117891313000945/R46.htm | , https://www.sec.gov/Archives/edgar/data/0000854800/000114420412018189/R9.htm | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ATVI, , https://www.sec.gov/Archives/edgar/data/0000718877/000104746919000788/R31.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746919000788/R53.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746919000788/R106.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746919000788/R107.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746919000788/R108.htm | , https://www.sec.gov/Archives/edgar/data/0000718877/000104746918001114/R28.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746918001114/R48.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746918001114/R92.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746918001114/R93.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746918001114/R94.htm | , https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R29.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R49.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R92.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R93.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R94.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746917001072/R95.htm | , https://www.sec.gov/Archives/edgar/data/0000718877/000104746916010584/R31.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746916010584/R51.htm | https://www.sec.gov/Archives/edgar/data/0000718877/000104746916010584/R93.htm | , , , , , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2011-02-25_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2010-03-01_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2009-02-27_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2009-02-27_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2008-05-30_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2008-05-30_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2007-06-14_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2007-06-14_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2006-06-09_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2006-06-09_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2005-06-09_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2004-06-10_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2003-06-19_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2002-06-28_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2001-06-27_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2001-06-27_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2001-06-27_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2001-06-27_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\ATVI_2001-06-27_report_4.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ESTC, https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R12.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R27.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R44.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R45.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R46.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R47.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R48.htm | https://www.sec.gov/Archives/edgar/data/0001707753/000162828020009982/R61.htm | , https://www.sec.gov/Archives/edgar/data/0001707753/000156459019024066/R59.htm | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AVNW, , , , , , , , , https://www.sec.gov/Archives/edgar/data/0001377789/000137778912000023/R8.htm | https://www.sec.gov/Archives/edgar/data/0001377789/000137778912000023/R24.htm | https://www.sec.gov/Archives/edgar/data/0001377789/000137778912000023/R37.htm | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2011-09-12_report_8.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_8.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_9.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_10.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_11.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_12.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_13.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_14.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_15.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_16.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2010-09-09_report_17.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_8.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_9.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_10.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_11.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2009-09-04_report_12.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_8.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_9.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_10.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_11.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_12.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2008-09-25_report_13.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_8.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_9.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_10.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_11.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_12.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_13.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_14.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_15.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_16.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\AVNW_2007-08-27_report_17.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
XSPA, , , , , , , , https://www.sec.gov/Archives/edgar/data/0001410428/000114420413016671/R48.htm | , , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\XSPA_2011-03-31_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\XSPA_2011-03-31_report_1.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WGO, , , , , , , , https://www.sec.gov/Archives/edgar/data/0000107687/000010768713000048/R10.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768713000048/R30.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768713000048/R49.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768713000048/R50.htm | , https://www.sec.gov/Archives/edgar/data/0000107687/000010768712000041/R9.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768712000041/R29.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768712000041/R48.htm | https://www.sec.gov/Archives/edgar/data/0000107687/000010768712000041/R49.htm | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2011-10-25_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2011-10-25_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2011-10-25_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2011-10-25_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2011-10-25_report_4.html | , , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_2.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_3.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_4.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_5.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_6.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_7.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2009-10-27_report_8.html | , , , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\WGO_2006-11-09_report_0.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
HSKA, https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R10.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R29.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R46.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R47.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R48.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R49.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813320000013/R50.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813319000015/R10.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813319000015/R28.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813319000015/R45.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813319000015/R46.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813318000007/R9.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813318000007/R26.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813318000007/R40.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813318000007/R41.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813317000018/R9.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813317000018/R25.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813317000018/R39.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813317000018/R40.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813316000212/R9.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813316000212/R25.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813316000212/R39.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813316000212/R40.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813315000051/R10.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813315000051/R21.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813315000051/R34.htm | , https://www.sec.gov/Archives/edgar/data/0001038133/000103813314000017/R10.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813314000017/R21.htm | https://www.sec.gov/Archives/edgar/data/0001038133/000103813314000017/R35.htm | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
TPB, https://www.sec.gov/Archives/edgar/data/0001290677/000114036120005641/R12.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036120005641/R37.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036120005641/R66.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036120005641/R67.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036120005641/R68.htm | , https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R12.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R34.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R63.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R64.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R65.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R66.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036119004508/R67.htm | , https://www.sec.gov/Archives/edgar/data/0001290677/000114036118012639/R13.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036118012639/R37.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036118012639/R66.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036118012639/R67.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000114036118012639/R68.htm | , https://www.sec.gov/Archives/edgar/data/0001290677/000156761917000434/R14.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000156761917000434/R38.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000156761917000434/R60.htm | https://www.sec.gov/Archives/edgar/data/0001290677/000156761917000434/R61.htm | , , , , , , , , , , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2007-03-30_report_0.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2006-04-03_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2006-04-03_report_1.html | , file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2005-03-31_report_0.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2005-03-31_report_1.html | file:///C:\Users\happy\OneDrive - California Institute of Technology\Desktop\sec_data\TPB_2005-03-31_report_2.html | , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
