,Ticker,CIK,10-K Report Date,Notes Link,10-K Report Page URL
33,Allergan Inc,0000850693,2011-03-01,Allergan Inc_2011-03-01_report_1.html,https://www.sec.gov/Archives/edgar/data/0000850693/0001193125-11-050632-index.htm
34,Allergan Inc,0000850693,2011-03-01,Allergan Inc_2011-03-01_report_2.html,https://www.sec.gov/Archives/edgar/data/0000850693/0001193125-11-050632-index.htm
35,Allergan Inc,0000850693,2010-02-26,Allergan Inc_2010-02-26_report_0.html,https://www.sec.gov/Archives/edgar/data/0000850693/0001193125-10-043126-index.htm
36,Allergan Inc,0000850693,2009-02-27,Allergan Inc_2009-02-27_report_0.html,https://www.sec.gov/Archives/edgar/data/0000850693/0001193125-09-040955-index.htm
37,Allergan Inc,0000850693,2008-02-28,Allergan Inc_2008-02-28_report_0.html,https://www.sec.gov/Archives/edgar/data/0000850693/0000892569-08-000184-index.htm
38,Allergan PLC,0001578845,2014-02-25,https://www.sec.gov/Archives/edgar/data/0001578845/000119312514066242/R11.htm,https://www.sec.gov/Archives/edgar/data/0001578845/0001193125-14-066242-index.htm
39,American Campus Comm Inc,0001283630,2017-03-01,https://www.sec.gov/Archives/edgar/data/0001283630/000128363017000029/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001283630-17-000029-index.htm
40,American Campus Comm Inc,0001283630,2016-02-29,https://www.sec.gov/Archives/edgar/data/0001283630/000128363016000038/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001283630-16-000038-index.htm
41,American Campus Comm Inc,0001283630,2015-02-26,https://www.sec.gov/Archives/edgar/data/0001283630/000128363015000003/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001283630-15-000003-index.htm
42,American Campus Comm Inc,0001283630,2014-03-03,https://www.sec.gov/Archives/edgar/data/0001283630/000128363014000003/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001283630-14-000003-index.htm
43,American Campus Comm Inc,0001283630,2013-03-01,https://www.sec.gov/Archives/edgar/data/0001283630/000118811213000543/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001188112-13-000543-index.htm
44,American Campus Comm Inc,0001283630,2012-02-28,https://www.sec.gov/Archives/edgar/data/0001283630/000118811212000524/R11.htm,https://www.sec.gov/Archives/edgar/data/0001283630/0001188112-12-000524-index.htm
45,Ameris Bancorp,0000351569,2017-02-27,https://www.sec.gov/Archives/edgar/data/0000351569/000114420417011082/R12.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001144204-17-011082-index.htm
46,Ameris Bancorp,0000351569,2016-02-29,https://www.sec.gov/Archives/edgar/data/0000351569/000114420416085023/R12.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001144204-16-085023-index.htm
47,Ameris Bancorp,0000351569,2015-03-16,https://www.sec.gov/Archives/edgar/data/0000351569/000119312515092877/R11.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-15-092877-index.htm
48,Ameris Bancorp,0000351569,2014-03-14,https://www.sec.gov/Archives/edgar/data/0000351569/000119312514099592/R10.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-14-099592-index.htm
49,Ameris Bancorp,0000351569,2013-03-01,https://www.sec.gov/Archives/edgar/data/0000351569/000119312513087270/R10.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-13-087270-index.htm
50,Ameris Bancorp,0000351569,2012-02-27,https://www.sec.gov/Archives/edgar/data/0000351569/000119312512081868/R10.htm,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-12-081868-index.htm
51,Ameris Bancorp,0000351569,2011-03-16,Ameris Bancorp_2011-03-16_report_0.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-11-068317-index.htm
52,Ameris Bancorp,0000351569,2011-03-16,Ameris Bancorp_2011-03-16_report_1.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-11-068317-index.htm
53,Ameris Bancorp,0000351569,2011-03-16,Ameris Bancorp_2011-03-16_report_2.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-11-068317-index.htm
54,Ameris Bancorp,0000351569,2011-03-16,Ameris Bancorp_2011-03-16_report_3.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-11-068317-index.htm
55,Ameris Bancorp,0000351569,2011-03-16,Ameris Bancorp_2011-03-16_report_4.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-11-068317-index.htm
56,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_0.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
57,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_1.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
58,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_2.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
59,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_3.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
60,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_4.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
61,Ameris Bancorp,0000351569,2010-03-16,Ameris Bancorp_2010-03-16_report_5.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-10-058101-index.htm
62,Ameris Bancorp,0000351569,2009-03-16,Ameris Bancorp_2009-03-16_report_0.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-09-055044-index.htm
63,Ameris Bancorp,0000351569,2009-03-16,Ameris Bancorp_2009-03-16_report_1.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-09-055044-index.htm
64,Ameris Bancorp,0000351569,2009-03-16,Ameris Bancorp_2009-03-16_report_2.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-09-055044-index.htm
65,Ameris Bancorp,0000351569,2009-03-16,Ameris Bancorp_2009-03-16_report_3.html,https://www.sec.gov/Archives/edgar/data/0000351569/0001193125-09-055044-index.htm
66,Bed Bath & Beyond Inc,0000886158,2017-04-25,https://www.sec.gov/Archives/edgar/data/0000886158/000117184317002300/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-17-002300-index.htm
67,Bed Bath & Beyond Inc,0000886158,2015-04-28,https://www.sec.gov/Archives/edgar/data/0000886158/000117184315002257/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-15-002257-index.htm
68,Bed Bath & Beyond Inc,0000886158,2014-04-29,https://www.sec.gov/Archives/edgar/data/0000886158/000117184314001962/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001171843-14-001962-index.htm
69,Bed Bath & Beyond Inc,0000886158,2013-04-30,https://www.sec.gov/Archives/edgar/data/0000886158/000110465913035115/R9.htm,https://www.sec.gov/Archives/edgar/data/0000886158/0001104659-13-035115-index.htm
70,BioMarin Pharmaceutical Inc,0001048477,2017-02-27,https://www.sec.gov/Archives/edgar/data/0001048477/000156459017002483/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-17-002483-index.htm
71,BioMarin Pharmaceutical Inc,0001048477,2016-02-29,https://www.sec.gov/Archives/edgar/data/0001048477/000156459016013653/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-16-013653-index.htm
72,BioMarin Pharmaceutical Inc,0001048477,2015-03-02,https://www.sec.gov/Archives/edgar/data/0001048477/000156459015001140/R15.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-15-001140-index.htm
73,BioMarin Pharmaceutical Inc,0001048477,2015-03-02,https://www.sec.gov/Archives/edgar/data/0001048477/000156459015001140/R29.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001564590-15-001140-index.htm
74,BioMarin Pharmaceutical Inc,0001048477,2014-02-26,https://www.sec.gov/Archives/edgar/data/0001048477/000119312514070025/R15.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-14-070025-index.htm
75,BioMarin Pharmaceutical Inc,0001048477,2013-02-26,https://www.sec.gov/Archives/edgar/data/0001048477/000119312513077031/R24.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-13-077031-index.htm
76,BioMarin Pharmaceutical Inc,0001048477,2013-02-26,https://www.sec.gov/Archives/edgar/data/0001048477/000119312513077031/R25.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-13-077031-index.htm
77,BioMarin Pharmaceutical Inc,0001048477,2012-02-22,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R11.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm
78,BioMarin Pharmaceutical Inc,0001048477,2012-02-22,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R12.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm
79,BioMarin Pharmaceutical Inc,0001048477,2012-02-22,https://www.sec.gov/Archives/edgar/data/0001048477/000119312512072924/R13.htm,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-12-072924-index.htm
80,BioMarin Pharmaceutical Inc,0001048477,2011-02-24,BioMarin Pharmaceutical Inc_2011-02-24_report_0.html,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-11-045527-index.htm
81,BioMarin Pharmaceutical Inc,0001048477,2010-02-26,BioMarin Pharmaceutical Inc_2010-02-26_report_0.html,https://www.sec.gov/Archives/edgar/data/0001048477/0001193125-10-041516-index.htm
82,Bottomline Technologies Inc,0001073349,2016-08-29,https://www.sec.gov/Archives/edgar/data/0001073349/000119312516694935/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-16-694935-index.htm
83,Bottomline Technologies Inc,0001073349,2015-08-28,https://www.sec.gov/Archives/edgar/data/0001073349/000119312515306606/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-15-306606-index.htm
84,Bottomline Technologies Inc,0001073349,2014-08-28,https://www.sec.gov/Archives/edgar/data/0001073349/000119312514324477/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-14-324477-index.htm
85,Bottomline Technologies Inc,0001073349,2013-08-29,https://www.sec.gov/Archives/edgar/data/0001073349/000119312513351488/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-13-351488-index.htm
86,Bottomline Technologies Inc,0001073349,2012-08-27,https://www.sec.gov/Archives/edgar/data/0001073349/000119312512369412/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-12-369412-index.htm
87,Bottomline Technologies Inc,0001073349,2011-09-09,https://www.sec.gov/Archives/edgar/data/0001073349/000119312511244233/R11.htm,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-11-244233-index.htm
88,Bottomline Technologies Inc,0001073349,2010-09-10,Bottomline Technologies Inc_2010-09-10_report_0.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-10-207831-index.htm
89,Bottomline Technologies Inc,0001073349,2010-09-10,Bottomline Technologies Inc_2010-09-10_report_1.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-10-207831-index.htm
90,Bottomline Technologies Inc,0001073349,2009-09-11,Bottomline Technologies Inc_2009-09-11_report_0.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-09-190353-index.htm
91,Bottomline Technologies Inc,0001073349,2009-09-11,Bottomline Technologies Inc_2009-09-11_report_1.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-09-190353-index.htm
92,Bottomline Technologies Inc,0001073349,2008-09-12,Bottomline Technologies Inc_2008-09-12_report_0.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-08-195286-index.htm
93,Bottomline Technologies Inc,0001073349,2008-09-12,Bottomline Technologies Inc_2008-09-12_report_1.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-08-195286-index.htm
94,Bottomline Technologies Inc,0001073349,2007-09-12,Bottomline Technologies Inc_2007-09-12_report_0.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-07-199767-index.htm
95,Bottomline Technologies Inc,0001073349,2007-09-12,Bottomline Technologies Inc_2007-09-12_report_1.html,https://www.sec.gov/Archives/edgar/data/0001073349/0001193125-07-199767-index.htm
96,Comcast Corp,0001166691,2013-02-21,https://www.sec.gov/Archives/edgar/data/0001166691/000119312513067658/R12.htm,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-13-067658-index.htm
97,Comcast Corp,0001166691,2012-02-23,https://www.sec.gov/Archives/edgar/data/0001166691/000119312512073905/R12.htm,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-12-073905-index.htm
98,Comcast Corp,0001166691,2011-02-25,Comcast Corp_2011-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-11-047243-index.htm
99,Comcast Corp,0001166691,2011-02-25,Comcast Corp_2011-02-25_report_1.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-11-047243-index.htm
100,Comcast Corp,0001166691,2010-02-23,Comcast Corp_2010-02-23_report_0.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-10-037551-index.htm
101,Comcast Corp,0001166691,2010-02-23,Comcast Corp_2010-02-23_report_1.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-10-037551-index.htm
102,Comcast Corp,0001166691,2010-02-23,Comcast Corp_2010-02-23_report_2.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-10-037551-index.htm
103,Comcast Corp,0001166691,2009-02-20,Comcast Corp_2009-02-20_report_0.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-09-033975-index.htm
104,Comcast Corp,0001166691,2009-02-20,Comcast Corp_2009-02-20_report_1.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-09-033975-index.htm
105,Comcast Corp,0001166691,2009-02-20,Comcast Corp_2009-02-20_report_2.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-09-033975-index.htm
106,Comcast Corp,0001166691,2009-02-20,Comcast Corp_2009-02-20_report_3.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-09-033975-index.htm
107,Comcast Corp,0001166691,2008-02-20,Comcast Corp_2008-02-20_report_0.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-08-034239-index.htm
108,Comcast Corp,0001166691,2008-02-20,Comcast Corp_2008-02-20_report_1.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-08-034239-index.htm
109,Comcast Corp,0001166691,2008-02-20,Comcast Corp_2008-02-20_report_2.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-08-034239-index.htm
110,Comcast Corp,0001166691,2008-02-20,Comcast Corp_2008-02-20_report_3.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-08-034239-index.htm
111,DaVita HealthCare Partners Inc,0000927066,2017-02-24,https://www.sec.gov/Archives/edgar/data/0000927066/000156459017002409/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-17-002409-index.htm
112,DaVita HealthCare Partners Inc,0000927066,2016-02-26,https://www.sec.gov/Archives/edgar/data/0000927066/000156459016013587/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-16-013587-index.htm
113,DaVita HealthCare Partners Inc,0000927066,2015-02-26,https://www.sec.gov/Archives/edgar/data/0000927066/000156459015001035/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-15-001035-index.htm
114,DaVita HealthCare Partners Inc,0000927066,2014-02-21,https://www.sec.gov/Archives/edgar/data/0000927066/000119312514062565/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-14-062565-index.htm
115,DaVita HealthCare Partners Inc,0000927066,2013-03-01,https://www.sec.gov/Archives/edgar/data/0000927066/000119312513085450/R26.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-13-085450-index.htm
116,DaVita HealthCare Partners Inc,0000927066,2012-02-24,https://www.sec.gov/Archives/edgar/data/0000927066/000119312512077942/R25.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-12-077942-index.htm
117,DaVita HealthCare Partners Inc,0000927066,2011-02-25,DaVita HealthCare Partners Inc_2011-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-11-046882-index.htm
118,DaVita HealthCare Partners Inc,0000927066,2010-02-25,DaVita HealthCare Partners Inc_2010-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-10-040773-index.htm
119,DaVita HealthCare Partners Inc,0000927066,2009-02-27,DaVita HealthCare Partners Inc_2009-02-27_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-09-040883-index.htm
120,DaVita HealthCare Partners Inc,0000927066,2008-02-29,DaVita HealthCare Partners Inc_2008-02-29_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-08-042304-index.htm
121,DaVita HealthCare Partners Inc,0000927066,2007-02-28,DaVita HealthCare Partners Inc_2007-02-28_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-07-041368-index.htm
122,DaVita Inc,0000927066,2017-02-24,https://www.sec.gov/Archives/edgar/data/0000927066/000156459017002409/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-17-002409-index.htm
123,DaVita Inc,0000927066,2016-02-26,https://www.sec.gov/Archives/edgar/data/0000927066/000156459016013587/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-16-013587-index.htm
124,DaVita Inc,0000927066,2015-02-26,https://www.sec.gov/Archives/edgar/data/0000927066/000156459015001035/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-15-001035-index.htm
125,DaVita Inc,0000927066,2014-02-21,https://www.sec.gov/Archives/edgar/data/0000927066/000119312514062565/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-14-062565-index.htm
126,DaVita Inc,0000927066,2013-03-01,https://www.sec.gov/Archives/edgar/data/0000927066/000119312513085450/R26.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-13-085450-index.htm
127,DaVita Inc,0000927066,2012-02-24,https://www.sec.gov/Archives/edgar/data/0000927066/000119312512077942/R25.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-12-077942-index.htm
128,DaVita Inc,0000927066,2011-02-25,DaVita Inc_2011-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-11-046882-index.htm
129,DaVita Inc,0000927066,2010-02-25,DaVita Inc_2010-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-10-040773-index.htm
130,DaVita Inc,0000927066,2009-02-27,DaVita Inc_2009-02-27_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-09-040883-index.htm
131,DaVita Inc,0000927066,2008-02-29,DaVita Inc_2008-02-29_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-08-042304-index.htm
132,DaVita Inc,0000927066,2007-02-28,DaVita Inc_2007-02-28_report_0.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-07-041368-index.htm
133,Dun & Bradstreet Corp,0001115222,2017-02-23,https://www.sec.gov/Archives/edgar/data/0001115222/000111522217000007/R26.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-17-000007-index.htm
134,Dun & Bradstreet Corp,0001115222,2016-02-26,https://www.sec.gov/Archives/edgar/data/0001115222/000111522216000045/R26.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-16-000045-index.htm
135,Dun & Bradstreet Corp,0001115222,2013-02-28,https://www.sec.gov/Archives/edgar/data/0001115222/000111522213000004/R12.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-13-000004-index.htm
136,Dun & Bradstreet Corp,0001115222,2012-02-29,https://www.sec.gov/Archives/edgar/data/0001115222/000119312512088493/R12.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-12-088493-index.htm
137,Dun & Bradstreet Corp,0001115222,2011-03-01,Dun & Bradstreet Corp_2011-03-01_report_0.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-11-051310-index.htm
138,Dun & Bradstreet Corp,0001115222,2010-02-25,Dun & Bradstreet Corp_2010-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-10-039993-index.htm
139,Dun & Bradstreet Corp,0001115222,2010-02-25,Dun & Bradstreet Corp_2010-02-25_report_1.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-10-039993-index.htm
140,Dun & Bradstreet Corp,0001115222,2010-02-25,Dun & Bradstreet Corp_2010-02-25_report_2.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-10-039993-index.htm
141,Dun & Bradstreet Corp,0001115222,2010-02-25,Dun & Bradstreet Corp_2010-02-25_report_3.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-10-039993-index.htm
142,Dun & Bradstreet Corp,0001115222,2009-02-24,Dun & Bradstreet Corp_2009-02-24_report_0.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-09-036159-index.htm
143,Dun & Bradstreet Corp,0001115222,2008-02-25,Dun & Bradstreet Corp_2008-02-25_report_0.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-08-037503-index.htm
144,Dun & Bradstreet Corp,0001115222,2007-02-28,Dun & Bradstreet Corp_2007-02-28_report_0.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-07-041994-index.htm
