,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
80,CSCO,0000858877,000085887715000070,https://www.sec.gov/Archives/edgar/data/0000858877/000085887715000070/R33.htm,https://www.sec.gov/Archives/edgar/data/0000858877/0000858877-15-000070.txt
81,CSCO,0000858877,000085887715000070,https://www.sec.gov/Archives/edgar/data/0000858877/000085887715000070/R53.htm,https://www.sec.gov/Archives/edgar/data/0000858877/0000858877-15-000070.txt
82,CSCO,0000858877,000085887715000070,https://www.sec.gov/Archives/edgar/data/0000858877/000085887715000070/R54.htm,https://www.sec.gov/Archives/edgar/data/0000858877/0000858877-15-000070.txt
83,CSCO,0000858877,000085887715000070,https://www.sec.gov/Archives/edgar/data/0000858877/000085887715000070/R55.htm,https://www.sec.gov/Archives/edgar/data/0000858877/0000858877-15-000070.txt
84,CTRE,0001590717,000162828020001900,https://www.sec.gov/Archives/edgar/data/0001590717/000162828020001900/R41.htm,https://www.sec.gov/Archives/edgar/data/0001590717/0001628280-20-001900.txt
85,CTRE,0001590717,000162828019001311,https://www.sec.gov/Archives/edgar/data/0001590717/000162828019001311/R40.htm,https://www.sec.gov/Archives/edgar/data/0001590717/0001628280-19-001311.txt
86,ENSG,0001125376,000112537620000018,https://www.sec.gov/Archives/edgar/data/0001125376/000112537620000018/R15.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-20-000018.txt
87,ENSG,0001125376,000112537620000018,https://www.sec.gov/Archives/edgar/data/0001125376/000112537620000018/R35.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-20-000018.txt
88,ENSG,0001125376,000112537620000018,https://www.sec.gov/Archives/edgar/data/0001125376/000112537620000018/R69.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-20-000018.txt
89,ENSG,0001125376,000112537620000018,https://www.sec.gov/Archives/edgar/data/0001125376/000112537620000018/R70.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-20-000018.txt
90,ENSG,0001125376,000112537619000016,https://www.sec.gov/Archives/edgar/data/0001125376/000112537619000016/R14.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-19-000016.txt
91,ENSG,0001125376,000112537619000016,https://www.sec.gov/Archives/edgar/data/0001125376/000112537619000016/R66.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-19-000016.txt
92,ENSG,0001125376,000112537619000016,https://www.sec.gov/Archives/edgar/data/0001125376/000112537619000016/R67.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-19-000016.txt
93,ENSG,0001125376,000112537618000028,https://www.sec.gov/Archives/edgar/data/0001125376/000112537618000028/R14.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-18-000028.txt
94,ENSG,0001125376,000112537618000028,https://www.sec.gov/Archives/edgar/data/0001125376/000112537618000028/R33.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-18-000028.txt
95,ENSG,0001125376,000112537618000028,https://www.sec.gov/Archives/edgar/data/0001125376/000112537618000028/R66.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-18-000028.txt
96,ENSG,0001125376,000112537618000028,https://www.sec.gov/Archives/edgar/data/0001125376/000112537618000028/R67.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-18-000028.txt
97,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R16.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
98,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R17.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
99,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R37.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
100,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R38.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
101,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R70.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
